row,SID,ip,firstName,# Users,Trials per user,domain,experimentName,levelName,Numberline,currentLevelNo,totalTrials,currentMode,currentQuestion,Opportunity Count,Temp(Opp),answerByUser,answerDec,Hit Rate,hitType,currentTrialStartTime,currentTrialEndTime,currentAccuracy,avgAccuracy,curReactionTime,totalTime,itemsPlayed,timeLimit,avgTime,bestTime,currentStarCount,totalStarCount,score,fireType,sound,verInfo
1016659,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac10_0_2,0-2,20,4,sub,20/10,1,20/10user62080-2,(936.4 # 460.8),2.0024,1,Perfect Hit!!,Wed Sep 21 17:11:50 2011 UTC,Wed Sep 21 17:12:01 2011 UTC,99.88,99.44,10.192,882.598 Secs,78,60,8.769,7.346,2,122,0,CLICK,ON,BSNL v2.1 UCLA
1016677,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac10_0_2,0-2,20,4,sub,1/20,1,1/20user62080-2,(96.2 # 504.3),0.0236,1,Perfect Hit!!,Wed Sep 21 17:12:05 2011 UTC,Wed Sep 21 17:12:10 2011 UTC,98.68,99.19,5.041,892.416 Secs,79,60,7.526333333,5.041,3,125,0,CLICK,ON,BSNL v2.1 UCLA
1016693,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac10_0_2,0-2,20,4,sub,19/20,1,19/20user62080-2,(446.9 # 524.65),0.8481,0,Near Miss!!,Wed Sep 21 17:12:15 2011 UTC,Wed Sep 21 17:12:18 2011 UTC,94.91,98.12,3.293,900.5 Secs,80,60,6.468,3.293,3,128,0,CLICK,ON,BSNL v2.1 UCLA
1016715,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole11_0_500,0-500,21,4,sub,385,1,385user62080-500,(689.3 # 506.15),355.1237,0,Near Miss!!,Wed Sep 21 17:12:29 2011 UTC,Wed Sep 21 17:12:31 2011 UTC,94.02,94.02,1.925,913.232 Secs,81,60,1.925,1.925,0,131,0,CLICK,ON,BSNL v2.1 UCLA
1016728,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole11_0_500,0-500,21,4,sub,20,1,20user62080-500,(98.05 # 498.75),7.0671,1,Perfect Hit!!,Wed Sep 21 17:12:36 2011 UTC,Wed Sep 21 17:12:38 2011 UTC,97.41,95.72,2.096,920.135 Secs,82,60,2.0105,1.925,1,132,0,CLICK,ON,BSNL v2.1 UCLA
1016746,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole11_0_500,0-500,21,4,sub,200,1,200user62080-500,(408.95 # 503.35),189.6349,1,Perfect Hit!!,Wed Sep 21 17:12:43 2011 UTC,Wed Sep 21 17:12:46 2011 UTC,97.93,96.46,3.379,928.318 Secs,83,60,2.466666667,1.925,2,134,0,CLICK,ON,BSNL v2.1 UCLA
1016760,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole11_0_500,0-500,21,4,sub,375,1,375user62080-500,(517.2 # 512.6),253.828,0,Miss!!,Wed Sep 21 17:12:51 2011 UTC,Wed Sep 21 17:12:54 2011 UTC,75.77,91.29,2.645,935.754 Secs,84,60,2.51125,1.925,2,136,0,CLICK,ON,BSNL v2.1 UCLA
1016790,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac11_0_5,0-5,22,4,sub,1/2,1,1/2user62080-5,(180.4 # 505.2),0.5536,1,Perfect Hit!!,Wed Sep 21 17:13:05 2011 UTC,Wed Sep 21 17:13:11 2011 UTC,98.93,98.93,6.325,952.934 Secs,85,60,6.325,6.325,1,139,0,CLICK,ON,BSNL v2.1 UCLA
1016806,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac11_0_5,0-5,22,4,sub,5/2,1,5/2user62080-5,(376.55 # 515.4),1.7079,0,Miss!!,Wed Sep 21 17:13:16 2011 UTC,Wed Sep 21 17:13:19 2011 UTC,84.16,91.55,2.948,960.688 Secs,86,60,4.6365,2.948,1,140,0,CLICK,ON,BSNL v2.1 UCLA
1016824,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac11_0_5,0-5,22,4,sub,3/2,1,3/2user62080-5,(270.15 # 521.85),1.0836,0,Miss!!,Wed Sep 21 17:13:23 2011 UTC,Wed Sep 21 17:13:26 2011 UTC,91.67,91.59,2.714,968.189 Secs,87,60,3.995666667,2.714,1,141,0,CLICK,ON,BSNL v2.1 UCLA
